1 1:4.69973        2:0.561021       3:1.03694        4:0.141866       5:0.0145182      6:0.283019       7:0.0614295      8:1.09811        9:0.310926       10:0.215094       11:0.0294726      12:0.481132       13:0.278869       14:0.49434        15:0.21592        16:0.296226       17:0.133163       18:10             19:6.45283        20:0.88628        21:0.0727927      22:0.279595       23:0.0616401      24:0.326852       
1 1:2.9567         2:0.526456       3:0.750099       4:0.173408       5:0.0146516      6:0.297561       7:0.0634146      8:1.27805        9:0.384593       10:0.263415       11:0.0730079      12:0.497561       13:0.240266       14:0.943902       15:0.464575       16:0.509756       17:0.161584       18:10             19:7.58537        20:0.921983       21:0.0471562      22:0.290302       23:0.0340813      24:0.29117        
1 1:2.70198        2:0.49274        3:0.839589       4:0.168237       5:0.0150962      6:0.286225       7:0.0441103      8:1.31664        9:0.369573       10:0.261181       11:0.0939816      12:0.438283       13:0.220595       14:0.774598       15:0.402429       16:0.432916       17:0.1461         18:13             19:9.81395        20:0.90352        21:0.0785901      22:0.286064       23:0.0436818      24:0.376948       
0 1:1.42162        2:0.209702       3:0.663612       4:0.702413       5:8.72314e-05    6:0.35           7:0.05           8:1.25           9:0.05           10:0.3            11:0              12:0.6            13:0              14:0.4            15:0              16:0.55           17:0.05           18:2              19:2.6            20:0.883032       21:0.0032241      22:0.205132       23:0.000876635    24:0.110096       
0 1:5.95791        2:0.0314636      3:0.553711       4:0.443501       5:0.0224486      6:0.277778       7:0.0555556      8:1              9:0.333333       10:0.166667       11:0.0555556      12:0.472222       13:0.0833333      14:0.555556       15:0.111111       16:0.305556       17:0.138889       18:2              19:2.44444        20:0.883344       21:0.0569548      22:0.321443       23:0.0729227      24:0.523446       
0 1:0.667747       2:0.0109177      3:1.00271        4:0.851677       5:0.0141768      6:0.4            7:0              8:1.2            9:0              10:0.2            11:0              12:0.85           13:0.05           14:0.75           15:0.35           16:0.4            17:0.1            18:2              19:3.2            20:0.896154       21:0.00384614     22:0.35588        23:0.00523087     24:0.278215       
0 1:1.97005        2:0.249367       3:0.229988       4:0.834234       5:0.00400138     6:0.3            7:0.1            8:1.2            9:0              10:0.2            11:0              12:0.75           13:0.05           14:0.85           15:0.05           16:0.5            17:0.2            18:2              19:3.1            20:0.908566       21:0.0069268      22:0.368385       23:0.00474897     24:0.223791       
0 1:1.107          2:0.0239182      3:0.317451       4:0.999663       5:0.0259784      6:0.571429       7:0              8:1.14286        9:0              10:0.285714       11:0              12:1.21429        13:0.0714286      14:0.5            15:0.0714286      16:1.71429        17:0              18:2              19:6.42857        20:0.955844       21:0.0012987      22:0.401529       23:0.00426841     24:0.167464       
1 1:12.9761        2:0.242531       3:4.99757        4:0.3004         5:0.0127538      6:0.658537       7:0.341463       8:2.89024        9:1.64634        10:0.853658       11:0.512195       12:1.15854        13:0.817073       14:2.31707        15:1.90244        16:1.28049        17:0.621951       18:2              19:3.40244        20:0.974656       21:0.00065887     22:0.100602       23:0.00663748     24:0.698044       
1 1:2.62082        2:0.362752       3:1.49514        4:0.205803       5:0.0129217      6:0.468158       7:0.0953969      8:1.98967        9:0.378344       10:0.416523       11:0.117847       12:0.910499       13:0.133986       14:0.798623       15:0.372115       16:0.851979       17:0.187505       18:7              19:5.95181        20:0.969757       21:0.0127914      22:0.133109       23:0.0302899      24:0.198367       
